timestamp,port,device,direction,command,response,error
2026-04-20T12:38:06.271,COM31,pace5000,OPEN,open,,
2026-04-20T12:38:06.271,COM31,pace5000,TX,*IDN?\n,,
2026-04-20T12:38:07.355,COM31,pace5000,RX,,"*IDN GE Druck,Pace5000 User Interface,3213201,02.00.07",
2026-04-20T12:38:07.355,COM31,pace5000,TX,:INST:MOD?\n,,
2026-04-20T12:38:08.418,COM31,pace5000,RX,,,
2026-04-20T12:38:09.432,COM31,pace5000,RX,,,
2026-04-20T12:38:09.433,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:38:10.525,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:38:10.526,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:38:11.622,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:38:11.623,COM31,pace5000,TX,":SOUR:PRES:RANG ""2.00bara""\n",,
2026-04-20T12:38:11.650,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:38:12.730,COM31,pace5000,RX,,":SYST:ERR -102,""Syntax error""",
2026-04-20T12:38:12.731,COM31,pace5000,TX,:OUTP:STAT 0\n,,
2026-04-20T12:38:12.743,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:38:13.826,COM31,pace5000,RX,,":SYST:ERR -113,""Undefined header""",
2026-04-20T12:38:13.841,COM31,pace5000,CLOSE,close,,
