timestamp,port,device,direction,duration_ms,command,response,error
2026-04-20T14:12:55.967,COM31,pace5000,OPEN,,open,,
2026-04-20T14:12:55.968,COM30,paroscientific_gauge,OPEN,,open,,
2026-04-20T14:12:55.969,COM25,dewpoint_meter,OPEN,,open,,
2026-04-20T14:12:55.969,COM24,humidity_generator,OPEN,,open,,
2026-04-20T14:12:55.996,COM35,gas_analyzer,OPEN,,open,,
2026-04-20T14:12:56.003,COM27,temperature_chamber,TX,,connect,,
2026-04-20T14:12:56.004,COM27,temperature_chamber,RX,,,connected,
2026-04-20T14:12:56.004,COM28,relay_controller,TX,,connect,,
2026-04-20T14:12:56.005,COM28,relay_controller,RX,,,connected,
2026-04-20T14:12:56.005,COM29,relay_controller,TX,,connect,,
2026-04-20T14:12:56.006,COM29,relay_controller,RX,,,connected,
2026-04-20T14:12:56.008,RUN,runner,EVENT,,postrun-corrected-delivery-config,"{""enabled"":false,""write_devices"":false,""allow_real_device_write"":false,""enabled_source"":""default"",""write_devices_source"":""default"",""allow_real_device_write_source"":""default""}",
2026-04-20T14:12:56.009,RUN,runner,EVENT,,run-start,CalibrationRunner.run entered,
2026-04-20T14:12:56.010,RUN,runner,EVENT,,stage,"{""current"":""初始化"",""wait_reason"":""加载点表""}",
2026-04-20T14:12:56.061,RUN,runner,EVENT,,h2o-zero-span-capability,"{""status"":""NOT_SUPPORTED"",""require_supported_capability"":false,""has_h2o_points"":false,""fit_h2o_requested"":false,""note"":""Current HEAD V1 only supports the CO2 main chain; H2O zero/span is NOT_SUPPORTED. H2O route sampling and ratio-poly/report selection exist, but no explicit H2O zero/span business chain is wired into CalibrationRunner.""}",
2026-04-20T14:12:56.061,RUN,runner,EVENT,,stage,"{""current"":""初始化"",""wait_reason"":""传感器预检查""}",
2026-04-20T14:12:56.061,RUN,runner,EVENT,,stage,"{""current"":""初始化"",""wait_reason"":""配置设备""}",
2026-04-20T14:12:56.061,COM31,pace5000,TX,0.159,:UNIT:PRES?\n,,
2026-04-20T14:12:56.166,COM31,pace5000,RX,15.26,,:UNIT:PRES HPA,
2026-04-20T14:12:56.166,COM31,pace5000,QUERY,104.871,:UNIT:PRES?\n,:UNIT:PRES HPA,
2026-04-20T14:12:56.166,COM31,pace5000,TX,0.147,:OUTP:MODE?\n,,
2026-04-20T14:12:56.245,COM31,pace5000,RX,27.155,,:OUTP:MODE ACT,
2026-04-20T14:12:56.245,COM31,pace5000,QUERY,78.619,:OUTP:MODE?\n,:OUTP:MODE ACT,
2026-04-20T14:12:56.245,COM31,pace5000,TX,0.346,:SOUR:PRES:INL?\n,,
2026-04-20T14:12:56.322,COM31,pace5000,RX,25.324,,:SOUR:PRES:INL 0.0200000,
2026-04-20T14:12:56.322,COM31,pace5000,QUERY,76.77,:SOUR:PRES:INL?\n,:SOUR:PRES:INL 0.0200000,
2026-04-20T14:12:56.323,COM31,pace5000,TX,0.154,:SOUR:PRES:INL:TIME?\n,,
2026-04-20T14:12:56.415,COM31,pace5000,RX,41.281,,:SOUR:PRES:INL:TIME 10,
2026-04-20T14:12:56.415,COM31,pace5000,QUERY,92.419,:SOUR:PRES:INL:TIME?\n,:SOUR:PRES:INL:TIME 10,
2026-04-20T14:12:56.415,COM35,gas_analyzer,RX,,,<flush_input>,
2026-04-20T14:12:56.434,COM35,gas_analyzer,TX,19.072,"SETCOMWAY,YGAS,FFF,0\r\n",,
2026-04-20T14:12:56.586,COM35,gas_analyzer,RX,,,<flush_input>,
2026-04-20T14:12:56.586,COM35,gas_analyzer,TX,0.383,"MODE,YGAS,FFF,2\r\n",,
2026-04-20T14:12:56.737,COM35,gas_analyzer,RX,,,<flush_input>,
2026-04-20T14:12:56.749,COM35,gas_analyzer,TX,11.272,"FTD,YGAS,FFF,10\r\n",,
2026-04-20T14:12:56.900,COM35,gas_analyzer,RX,,,<flush_input>,
2026-04-20T14:12:56.909,COM35,gas_analyzer,TX,9.158,"AVERAGE1,YGAS,FFF,49\r\n",,
2026-04-20T14:12:57.060,COM35,gas_analyzer,RX,,,<flush_input>,
2026-04-20T14:12:57.074,COM35,gas_analyzer,TX,14.035,"AVERAGE2,YGAS,FFF,49\r\n",,
2026-04-20T14:12:57.225,COM35,gas_analyzer,RX,,,<flush_input>,
2026-04-20T14:12:57.240,COM35,gas_analyzer,TX,15.296,"SETCOMWAY,YGAS,FFF,1\r\n",,
2026-04-20T14:12:59.244,COM35,gas_analyzer,RX,,,"YGAS,012,0404.183,00.000,0720.122,-0.214,1.3245,1.3246,0.7559,0.7563,03340,04424,02526,027.97,027.97,101.37",
2026-04-20T14:12:59.244,COM35,gas_analyzer,RX,,,"YGAS,012,T",
2026-04-20T14:12:59.250,COM35,gas_analyzer,RX,,,"YGAS,012,0404.233,00.000,0720.115,-0.214,1.3245,1.3240,0.7559,0.7557,03338,04421,02525,027.97,027.97,101.36",
2026-04-20T14:12:59.253,COM35,gas_analyzer,RX,,,"YGAS,012,0404.236,00.000,0720.076,-0.215,1.3245,1.3239,0.7559,0.7549,03341,04426,02524,027.97,027.97,101.35",
2026-04-20T14:12:59.257,COM35,gas_analyzer,RX,,,"YGAS,012,0404.259,00.000,0720.199,-0.219,1.3245,1.3243,0.7560,0.7554,03341,04423,02525,027.98,027.97,101.37",
2026-04-20T14:12:59.259,COM35,gas_analyzer,RX,,,"YGAS,012,0404.187,00.000,0720.158,-0.218,1.3245,1.3238,0.7559,0.7558,03342,04424,02526,027.98,027.97,101.38",
2026-04-20T14:12:59.261,COM35,gas_analyzer,RX,,,"YGAS,012,0404.177,00.000,0720.189,-0.222,1.3245,1.3247,0.7560,0.7564,03341,04424,02530,027.97,027.97,101.39",
2026-04-20T14:12:59.266,COM35,gas_analyzer,RX,,,"YGAS,012,0404.436,00.000,0720.563,-0.218,1.3245,1.3244,0.7560,0.7564,03341,04424,02525,027.97,027.98,101.37",
2026-04-20T14:12:59.269,COM35,gas_analyzer,RX,,,"YGAS,012,0404.674,00.000,0720.992,-0.210,1.3244,1.3252,0.7559,0.7560,03341,04423,02524,027.97,027.98,101.37",
2026-04-20T14:12:59.272,COM35,gas_analyzer,RX,,,"YGAS,012,0404.758,00.000,0721.141,-0.210,1.3244,1.3246,0.7559,0.7557,03340,04424,02524,027.97,027.98,101.37",
2026-04-20T14:12:59.274,COM35,gas_analyzer,RX,,,"YGAS,012,0404.798,00.000,0721.169,-0.211,1.3244,1.3247,0.7559,0.7555,03338,04424,02522,027.97,027.98,101.37",
2026-04-20T14:12:59.276,COM35,gas_analyzer,RX,,,"YGAS,012,0404.782,00.000,0721.233,-0.210,1.3244,1.3240,0.7559,0.7564,03340,04423,02526,027.97,027.98,101.38",
2026-04-20T14:12:59.278,COM35,gas_analyzer,RX,,,"YGAS,012,0405.032,00.000,0721.586,-0.212,1.3243,1.3252,0.7559,0.7560,03340,04423,02525,027.97,027.98,101.37",
2026-04-20T14:12:59.286,COM35,gas_analyzer,RX,,,"YGAS,012,0404.942,00.000,0721.469,-0.218,1.3244,1.3244,0.7560,0.7557,03339,04423,02522,027.97,027.98,101.37",
2026-04-20T14:12:59.289,COM35,gas_analyzer,RX,,,"YGAS,012,0405.024,00.000,0721.533,-0.222,1.3243,1.3246,0.7560,0.7547,03339,04423,02520,027.97,027.98,101.36",
2026-04-20T14:12:59.292,COM35,gas_analyzer,RX,,,"YGAS,012,0404.950,00.000,0721.446,-0.221,1.3244,1.3241,0.7560,0.7564,03341,04424,02528,027.97,027.98,101.37",
2026-04-20T14:12:59.306,COM35,gas_analyzer,RX,,,"YGAS,012,0404.904,00.000,0721.320,-0.217,1.3244,1.3242,0.7560,0.7556,03341,04425,02523,027.97,027.98,101.36",
2026-04-20T14:12:59.309,COM35,gas_analyzer,RX,,,"YGAS,012,0404.805,00.000,0721.225,-0.217,1.3244,1.3242,0.7559,0.7556,03343,04424,02525,027.97,027.98,101.37",
