timestamp,port,device,direction,duration_ms,command,response,error
2026-04-20T13:56:12.679,COM31,pace5000,OPEN,,open,,
2026-04-20T13:56:12.679,COM31,pace5000,TX,0.081,*IDN?\n,,
2026-04-20T13:56:12.779,COM31,pace5000,RX,49.663,,"*IDN GE Druck,Pace5000 User Interface,3213201,02.00.07",
2026-04-20T13:56:12.779,COM31,pace5000,QUERY,100.068,*IDN?\n,"*IDN GE Druck,Pace5000 User Interface,3213201,02.00.07",
2026-04-20T13:56:12.779,COM31,pace5000,TX,0.077,:INST:MOD?\n,,
2026-04-20T13:56:13.838,COM31,pace5000,RX,1008.507,,,
2026-04-20T13:56:13.839,COM31,pace5000,QUERY,1059.615,:INST:MOD?\n,,
2026-04-20T13:56:14.850,COM31,pace5000,RX,1011.224,,,
2026-04-20T13:56:14.850,COM31,pace5000,TX,0.068,:SYST:ERR?\n,,
2026-04-20T13:56:14.960,COM31,pace5000,RX,59.15,,":SYST:ERR -102,""Syntax error""",
2026-04-20T13:56:14.960,COM31,pace5000,QUERY,109.969,:SYST:ERR?\n,":SYST:ERR -102,""Syntax error""",
2026-04-20T13:56:14.961,COM31,pace5000,TX,0.09,:SYST:ERR?\n,,
2026-04-20T13:56:15.037,COM31,pace5000,RX,26.096,,":SYST:ERR 0, No error",
2026-04-20T13:56:15.037,COM31,pace5000,QUERY,76.935,:SYST:ERR?\n,":SYST:ERR 0, No error",
2026-04-20T13:56:15.038,COM31,pace5000,TX,0.074,:OUTP:STAT?\n,,
2026-04-20T13:56:15.114,COM31,pace5000,RX,26.137,,:OUTP:STAT 0,
2026-04-20T13:56:15.114,COM31,pace5000,QUERY,76.679,:OUTP:STAT?\n,:OUTP:STAT 0,
2026-04-20T13:56:15.114,COM31,pace5000,TX,0.103,:SENS:PRES?\n,,
2026-04-20T13:56:15.191,COM31,pace5000,RX,26.301,,:SENS:PRES -0.0306539,
2026-04-20T13:56:15.191,COM31,pace5000,QUERY,76.935,:SENS:PRES?\n,:SENS:PRES -0.0306539,
2026-04-20T13:56:15.191,COM31,pace5000,TX,0.11,:SENS:PRES:INL?\n,,
2026-04-20T13:56:15.285,COM31,pace5000,RX,42.95,,":SENS:PRES:INL 1014.2962646, 0",
2026-04-20T13:56:15.285,COM31,pace5000,QUERY,93.435,:SENS:PRES:INL?\n,":SENS:PRES:INL 1014.2962646, 0",
2026-04-20T13:56:15.285,COM31,pace5000,TX,0.117,:SYST:ERR?\n,,
2026-04-20T13:56:15.361,COM31,pace5000,RX,26.103,,":SYST:ERR 0, No error",
2026-04-20T13:56:15.361,COM31,pace5000,QUERY,76.467,:SYST:ERR?\n,":SYST:ERR 0, No error",
2026-04-20T13:56:15.361,COM31,pace5000,TX,0.072,:SENS:PRES?\n,,
2026-04-20T13:56:15.425,COM31,pace5000,RX,13.464,,:SENS:PRES -0.0305774,
2026-04-20T13:56:15.426,COM31,pace5000,QUERY,64.285,:SENS:PRES?\n,:SENS:PRES -0.0305774,
2026-04-20T13:56:15.426,COM31,pace5000,TX,0.159,:SENS:PRES?\n,,
2026-04-20T13:56:15.504,COM31,pace5000,RX,27.036,,:SENS:PRES -0.0307179,
2026-04-20T13:56:15.504,COM31,pace5000,QUERY,78.015,:SENS:PRES?\n,:SENS:PRES -0.0307179,
2026-04-20T13:56:15.519,COM31,pace5000,CLOSE,,close,,
