path,name,artifact_type,category,stage,formal_status,risk_level,opens_com_ports,controls_routes,writes_coefficients,notes
src/gas_calibrator/storage/v1_5_evidence/__init__.py,__init__,storage,evidence_database,general,formal_support,offline,False,False,False,()
src/gas_calibrator/storage/v1_5_evidence/bundle.py,bundle,storage,evidence_database,general,formal_support,offline,False,False,False,()
src/gas_calibrator/storage/v1_5_evidence/pressure_completion_bundle.py,pressure_completion_bundle,storage,evidence_database,pressure_channel,formal_support,offline,False,False,False,()
src/gas_calibrator/storage/v1_5_evidence/repository.py,repository,storage,evidence_database,general,formal_support,offline,False,False,False,()
src/gas_calibrator/storage/v1_5_evidence/schema.py,schema,storage,evidence_database,general,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/archive_v1_5_current_stage.py,archive_v1_5_current_stage,tool,housekeeping_archive,general,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/build_v1_5_h2o_archive_inputs.py,build_v1_5_h2o_archive_inputs,tool,formal_review_evidence,h2o_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/collect_v1_5_serial_port_inventory.py,collect_v1_5_serial_port_inventory,tool,identity_and_serial_binding,identity_and_serial_binding,formal_support,offline,False,False,False,"('COM port is transport only; analyzer identity remains MODE2 device ID',)"
src/gas_calibrator/tools/export_single_gas_pressure_curve.py,export_single_gas_pressure_curve,tool,diagnostic_only,pressure_channel,diagnostic_only,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_advanced_qc.py,export_v1_5_advanced_qc,tool,formal_review_evidence,qc_review,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_algorithm_write_contract_review.py,export_v1_5_algorithm_write_contract_review,tool,formal_review_evidence,general,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_calibration_capability.py,export_v1_5_calibration_capability,tool,formal_review_evidence,general,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_calibration_reports.py,export_v1_5_calibration_reports,tool,formal_review_evidence,reporting,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_candidate_coefficients.py,export_v1_5_candidate_coefficients,tool,formal_review_evidence,coefficient_review,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_candidate_model_selection_review.py,export_v1_5_candidate_model_selection_review,tool,formal_review_evidence,coefficient_review,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_candidate_write_review.py,export_v1_5_candidate_write_review,tool,formal_review_evidence,coefficient_review,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_anchor_ratio_repair.py,export_v1_5_co2_anchor_ratio_repair,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_common_mode_point_audit.py,export_v1_5_co2_common_mode_point_audit,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_fit_algorithm_matrix.py,export_v1_5_co2_fit_algorithm_matrix,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_h2o_cross_effect_review.py,export_v1_5_co2_h2o_cross_effect_review,tool,formal_review_evidence,h2o_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_integrated_senco_recalc.py,export_v1_5_co2_integrated_senco_recalc,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_intercept_root_cause.py,export_v1_5_co2_intercept_root_cause,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_low_point_stability.py,export_v1_5_co2_low_point_stability,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_post_h2o_diagnostic.py,export_v1_5_co2_post_h2o_diagnostic,tool,diagnostic_only,h2o_component,diagnostic_only,offline,False,False,False,"('diagnostic evidence only; not formal acceptance by default',)"
src/gas_calibrator/tools/export_v1_5_co2_queue_failure_audit.py,export_v1_5_co2_queue_failure_audit,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_relative_s13_objective_review.py,export_v1_5_co2_relative_s13_objective_review,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_s13_blocker_closure_action_review.py,export_v1_5_co2_s13_blocker_closure_action_review,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_s13_bridge_correction_strategy_review.py,export_v1_5_co2_s13_bridge_correction_strategy_review,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_s13_enhanced_model_capacity_review.py,export_v1_5_co2_s13_enhanced_model_capacity_review,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
src/gas_calibrator/tools/export_v1_5_co2_s13_error_root_cause_resolution_review.py,export_v1_5_co2_s13_error_root_cause_resolution_review,tool,formal_review_evidence,co2_component,formal_support,offline,False,False,False,()
