family_id,route_kind,point_key,candidate_type,bind_decision,candidate_path,quality_source,has_quality_evidence,has_raw_sampling_evidence,same_family_hint,same_physical_point,reason
new_algorithm_shadow_run,co2,-20/0,segmented_or_retry_point_directory,segmented_quality_candidate_review_bind,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p004_Tm20_0ppm_fit,frame_quality_summary,True,True,True,True,frame_quality_rows=1
new_algorithm_shadow_run,co2,-20/0,segmented_or_retry_point_directory,cross_family_reference_not_direct_bind,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p043_Tm20_0ppm_fit,formal_open_flow_data_quality_by_analyzer,True,True,False,True,formal_quality_rows=6;fit_rows=3
new_algorithm_shadow_run,co2,-20/400,segmented_or_retry_point_directory,segmented_quality_candidate_review_bind,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p005_Tm20_400ppm_fit,frame_quality_summary,True,True,True,True,frame_quality_rows=1
new_algorithm_shadow_run,co2,-20/400,segmented_or_retry_point_directory,cross_family_reference_not_direct_bind,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p044_Tm20_400ppm_fit,formal_open_flow_data_quality_by_analyzer,True,True,False,True,formal_quality_rows=6;fit_rows=4
new_algorithm_shadow_run,co2,-20/1000,segmented_or_retry_point_directory,segmented_raw_only_qc_derivation_required,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p006_Tm20_1000ppm_fit,,False,True,True,True,raw_files=4;requires QC derivation before replay binding
new_algorithm_shadow_run,co2,-20/1000,segmented_or_retry_point_directory,segmented_quality_candidate_review_bind,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p006_Tm20_1000ppm_fit_retry1,frame_quality_summary,True,True,True,True,frame_quality_rows=1
new_algorithm_shadow_run,co2,-20/1000,segmented_or_retry_point_directory,cross_family_reference_not_direct_bind,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p045_Tm20_1000ppm_fit,formal_open_flow_data_quality_by_analyzer,True,True,False,True,formal_quality_rows=6;fit_rows=3
new_algorithm_shadow_run,co2,-10/0,segmented_or_retry_point_directory,segmented_quality_candidate_review_bind,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p001_Tm10_0ppm_fit,frame_quality_summary,True,True,True,True,frame_quality_rows=1
new_algorithm_shadow_run,co2,-10/0,segmented_or_retry_point_directory,cross_family_reference_not_direct_bind,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p040_Tm10_0ppm_fit,,False,True,False,True,raw_files=4;requires QC derivation before replay binding
new_algorithm_shadow_run,co2,-10/400,segmented_or_retry_point_directory,segmented_quality_candidate_review_bind,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p002_Tm10_400ppm_fit,frame_quality_summary,True,True,True,True,frame_quality_rows=1
new_algorithm_shadow_run,co2,-10/400,segmented_or_retry_point_directory,cross_family_reference_not_direct_bind,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p041_Tm10_400ppm_fit,,False,True,False,True,raw_files=4;requires QC derivation before replay binding
new_algorithm_shadow_run,co2,-10/1000,segmented_or_retry_point_directory,segmented_quality_candidate_review_bind,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_resume_20260628\co2_Tm10_Tm20_COM35_r1\p003_Tm10_1000ppm_fit,frame_quality_summary,True,True,True,True,frame_quality_rows=1
new_algorithm_shadow_run,co2,-10/1000,segmented_or_retry_point_directory,cross_family_reference_not_direct_bind,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p042_Tm10_1000ppm_fit,formal_open_flow_data_quality_by_analyzer,True,True,False,True,formal_quality_rows=6;fit_rows=1
