profile_id,algorithm_mode,route_kind,sequence_index,temperature_c,temperature_segment,segment_order_index,co2_ppm,hgen_temp,hgen_rh_pct,point_key,point_role,included_in_legacy_default_queue,included_in_new_algorithm_formal_candidate,historical_missing_point_semantics,source_runner,do_not_modify_mature_runner
legacy_ratio_production,legacy_ratio_R,co2,1,-20,-20C,1,0,,,-20/0,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,2,-20,-20C,2,400,,,-20/400,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,3,-20,-20C,3,1000,,,-20/1000,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,4,-10,-10C,1,0,,,-10/0,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,5,-10,-10C,2,400,,,-10/400,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,6,-10,-10C,3,1000,,,-10/1000,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,7,0,0C,1,0,,,0/0,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,8,0,0C,2,400,,,0/400,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,9,0,0C,3,1000,,,0/1000,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,10,10,10C,1,0,,,10/0,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,11,10,10C,2,100,,,10/100,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,12,10,10C,3,200,,,10/200,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,13,10,10C,4,300,,,10/300,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,14,10,10C,5,400,,,10/400,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,15,10,10C,6,500,,,10/500,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,16,10,10C,7,600,,,10/600,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,17,10,10C,8,700,,,10/700,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,18,10,10C,9,800,,,10/800,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,19,10,10C,10,900,,,10/900,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,20,10,10C,11,1000,,,10/1000,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,21,20,20C,1,0,,,20/0,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,22,20,20C,2,100,,,20/100,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,23,20,20C,3,200,,,20/200,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,24,20,20C,4,300,,,20/300,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,25,20,20C,5,400,,,20/400,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,26,20,20C,6,500,,,20/500,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,27,20,20C,7,600,,,20/600,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,28,20,20C,8,700,,,20/700,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,29,20,20C,9,800,,,20/800,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,30,20,20C,10,900,,,20/900,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,31,20,20C,11,1000,,,20/1000,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,32,30,30C,1,0,,,30/0,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,33,30,30C,2,100,,,30/100,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,34,30,30C,3,200,,,30/200,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,35,30,30C,4,300,,,30/300,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,36,30,30C,5,400,,,30/400,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,37,30,30C,6,500,,,30/500,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
legacy_ratio_production,legacy_ratio_R,co2,38,30,30C,7,600,,,30/600,profile_base_formal_point,True,False,base_profile_formal_point,gas_calibrator.tools.run_v1_5_formal_co2_open_flow_queue,True
