timestamp,port,device,direction,command,response,error
2026-04-20T12:42:28.021,COM31,pace5000,OPEN,open,,
2026-04-20T12:42:28.021,COM31,pace5000,TX,*IDN?\n,,
2026-04-20T12:42:29.105,COM31,pace5000,RX,,"*IDN GE Druck,Pace5000 User Interface,3213201,02.00.07",
2026-04-20T12:42:29.105,COM31,pace5000,TX,:INST:MOD?\n,,
2026-04-20T12:42:30.164,COM31,pace5000,RX,,,
2026-04-20T12:42:31.164,COM31,pace5000,RX,,,
2026-04-20T12:42:31.164,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:42:32.262,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:42:32.262,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:42:33.355,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:42:33.355,COM31,pace5000,TX,:SOUR:PRES:RANG?\n,,
2026-04-20T12:42:34.431,COM31,pace5000,RX,,":SOUR:PRES:RANG ""2.00bara""",
2026-04-20T12:42:34.431,COM31,pace5000,TX,:UNIT:PRES?\n,,
2026-04-20T12:42:35.495,COM31,pace5000,RX,,:UNIT:PRES HPA,
2026-04-20T12:42:35.495,COM31,pace5000,TX,:SOUR:PRES:INL?\n,,
2026-04-20T12:42:36.564,COM31,pace5000,RX,,:SOUR:PRES:INL 0.0200000,
2026-04-20T12:42:36.565,COM31,pace5000,TX,:SOUR:PRES:INL:TIME?\n,,
2026-04-20T12:42:37.641,COM31,pace5000,RX,,:SOUR:PRES:INL:TIME 10,
2026-04-20T12:42:37.642,COM31,pace5000,TX,:UNIT:PRES?\n,,
2026-04-20T12:42:38.702,COM31,pace5000,RX,,:UNIT:PRES HPA,
2026-04-20T12:42:38.703,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:42:39.812,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:42:39.813,COM31,pace5000,TX,:SOUR:PRES:RANG?\n,,
2026-04-20T12:42:40.887,COM31,pace5000,RX,,":SOUR:PRES:RANG ""2.00bara""",
2026-04-20T12:42:40.887,COM31,pace5000,TX,:SOUR:PRES:RANG?\n,,
2026-04-20T12:42:41.961,COM31,pace5000,RX,,":SOUR:PRES:RANG ""2.00bara""",
2026-04-20T12:42:41.962,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:42:43.027,COM31,pace5000,RX,,:OUTP:STAT 0,
2026-04-20T12:42:43.027,COM31,pace5000,TX,:OUTP:ISOL:STAT 1\n,,
2026-04-20T12:42:43.045,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:42:44.116,COM31,pace5000,RX,,":SYST:ERR -102,""Syntax error""",
2026-04-20T12:42:44.117,COM31,pace5000,TX,:OUTP:STAT 0\n,,
2026-04-20T12:42:44.129,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:42:45.198,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:42:45.198,COM31,pace5000,TX,:OUTP:ISOL:STAT 1\n,,
2026-04-20T12:42:45.216,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:42:46.278,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:42:46.278,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT 1\n,,
2026-04-20T12:42:46.310,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:42:47.453,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:42:47.453,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:42:48.554,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 1,
2026-04-20T12:42:49.054,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:42:50.184,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 1,
2026-04-20T12:42:50.685,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:42:51.782,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,
2026-04-20T12:42:51.782,COM31,pace5000,TX,:INST:VERS?\n,,
2026-04-20T12:42:52.848,COM31,pace5000,RX,,":INST:VERS ""02.00.07""",
2026-04-20T12:42:52.848,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:42:53.944,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,
2026-04-20T12:42:53.945,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:42:55.009,COM31,pace5000,RX,,:OUTP:STAT 0,
2026-04-20T12:42:55.009,COM31,pace5000,TX,:OUTP:ISOL:STAT?\n,,
2026-04-20T12:42:56.072,COM31,pace5000,RX,,:OUTP:ISOL:STAT 1,
2026-04-20T12:42:56.072,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:42:57.134,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:42:57.150,COM31,pace5000,CLOSE,close,,
